placement,object class,aggregate from,aggregate to,total count,male range00to05,male range06to12,male range13to17,male range18to24,male range25to34,male range35to44,male range45to54,male range55to64,male range65over,female range00to05,female range06to12,female range13to17,female range18to24,female range25to34,female range35to44,female range45to54,female range55to64,female range65over,other range00to05,other range06to12,other range13to17,other range18to24,other range25to34,other range35to44,other range45to54,other range55to64,other range65over
tojinbo-shotaro,Face,2026-02-01 00:00:00,2026-02-02 00:00:00,96,0,10,12,14,16,9,2,4,1,0,3,4,7,8,2,4,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2026-02-02 00:00:00,2026-02-03 00:00:00,35,0,8,4,2,8,0,2,0,0,0,0,2,5,3,0,0,0,0,0,0,1,0,0,0,0,0,0
tojinbo-shotaro,Face,2026-02-03 00:00:00,2026-02-04 00:00:00,13,0,0,1,0,3,3,3,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2026-02-04 00:00:00,2026-02-05 00:00:00,51,0,2,5,13,8,2,1,1,3,0,1,4,7,3,1,0,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2026-02-05 00:00:00,2026-02-06 00:00:00,72,0,8,7,7,9,3,3,3,1,0,6,7,7,8,1,0,2,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2026-02-06 00:00:00,2026-02-07 00:00:00,36,0,7,2,6,5,1,0,1,1,0,2,3,1,2,2,2,1,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2026-02-07 00:00:00,2026-02-08 00:00:00,113,0,20,10,15,11,4,6,5,1,0,3,9,13,3,7,6,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2026-02-08 00:00:00,2026-02-09 00:00:00,10,0,3,2,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
