placement,object class,aggregate from,aggregate to,total count,male range00to05,male range06to12,male range13to17,male range18to24,male range25to34,male range35to44,male range45to54,male range55to64,male range65over,female range00to05,female range06to12,female range13to17,female range18to24,female range25to34,female range35to44,female range45to54,female range55to64,female range65over,other range00to05,other range06to12,other range13to17,other range18to24,other range25to34,other range35to44,other range45to54,other range55to64,other range65over
fukui-station-east-entrance,Face,2026-02-01 00:00:00,2026-02-02 00:00:00,497,7,160,31,29,44,40,24,17,10,1,45,20,18,16,18,6,6,3,0,1,0,0,0,0,0,1,0
fukui-station-east-entrance,Face,2026-02-02 00:00:00,2026-02-03 00:00:00,295,2,84,16,14,25,13,25,10,7,0,30,20,9,19,6,6,4,4,0,1,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2026-02-03 00:00:00,2026-02-04 00:00:00,245,3,84,17,12,20,22,8,9,6,0,19,6,13,10,10,2,1,3,0,0,0,0,0,0,0,0,0
