placement,object class,aggregate from,aggregate to,total count
tojinbo-shotaro,Person,2026-02-01 00:00:00,2026-02-02 00:00:00,4844
tojinbo-shotaro,Person,2026-02-02 00:00:00,2026-02-03 00:00:00,3871
